confusion_matrix_iteracion_91.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_92.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_93.txt: Accuracy = 0.9850, Precision = 0.4000, Recall = 1.0000, Measure = 0.5714
confusion_matrix_iteracion_94.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_95.txt: Accuracy = 0.9900, Precision = 0.5000, Recall = 1.0000, Measure = 0.6667
confusion_matrix_iteracion_96.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_97.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_98.txt: Accuracy = 0.9775, Precision = 0.4000, Recall = 1.0000, Measure = 0.5714
confusion_matrix_iteracion_99.txt: Accuracy = 0.9900, Precision = 0.7000, Recall = 0.8750, Measure = 0.7778
confusion_matrix_iteracion_100.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_101.txt: Accuracy = 0.9700, Precision = 0.2000, Recall = 1.0000, Measure = 0.3333
confusion_matrix_iteracion_102.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_103.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_104.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_105.txt: Accuracy = 0.9850, Precision = 0.4545, Recall = 1.0000, Measure = 0.6250
confusion_matrix_iteracion_106.txt: Accuracy = 1.0000, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_107.txt: Accuracy = 0.9750, Precision = 0.1818, Recall = 0.6667, Measure = 0.2857
confusion_matrix_iteracion_108.txt: Accuracy = 0.9900, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_109.txt: Accuracy = 0.9825, Precision = 0.3750, Recall = 0.6000, Measure = 0.4615
confusion_matrix_iteracion_110.txt: Accuracy = 0.9925, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_111.txt: Accuracy = 0.9850, Precision = 0.3333, Recall = 1.0000, Measure = 0.5000
confusion_matrix_iteracion_112.txt: Accuracy = 0.9925, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_113.txt: Accuracy = 0.9900, Precision = 0.5714, Recall = 0.8000, Measure = 0.6667
confusion_matrix_iteracion_114.txt: Accuracy = 0.9850, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_115.txt: Accuracy = 0.9875, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_116.txt: Accuracy = 0.9850, Precision = 0.3333, Recall = 1.0000, Measure = 0.5000
confusion_matrix_iteracion_117.txt: Accuracy = 0.9900, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_118.txt: Accuracy = 0.9800, Precision = 0.1111, Recall = 1.0000, Measure = 0.2000
confusion_matrix_iteracion_119.txt: Accuracy = 0.9950, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_120.txt: Accuracy = 0.9875, Precision = 0.2857, Recall = 1.0000, Measure = 0.4444
confusion_matrix_iteracion_121.txt: Accuracy = 0.9975, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_122.txt: Accuracy = 0.9900, Precision = 0.3333, Recall = 1.0000, Measure = 0.5000
confusion_matrix_iteracion_123.txt: Accuracy = 0.9975, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_124.txt: Accuracy = 0.9850, Precision = 0.1429, Recall = 1.0000, Measure = 0.2500
confusion_matrix_iteracion_125.txt: Accuracy = 0.9975, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_126.txt: Accuracy = 0.9850, Precision = 0.1429, Recall = 1.0000, Measure = 0.2500
confusion_matrix_iteracion_127.txt: Accuracy = 0.9975, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_128.txt: Accuracy = 0.9975, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_129.txt: Accuracy = 0.9925, Precision = 0.4000, Recall = 1.0000, Measure = 0.5714
confusion_matrix_iteracion_130.txt: Accuracy = 0.9925, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_131.txt: Accuracy = 0.9850, Precision = 0.4000, Recall = 0.4000, Measure = 0.4000
confusion_matrix_iteracion_132.txt: Accuracy = 0.9900, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_133.txt: Accuracy = 0.9875, Precision = 0.4000, Recall = 0.5000, Measure = 0.4444
confusion_matrix_iteracion_134.txt: Accuracy = 0.9925, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_135.txt: Accuracy = 0.9975, Precision = 0.6667, Recall = 1.0000, Measure = 0.8000
confusion_matrix_iteracion_136.txt: Accuracy = 0.9975, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_137.txt: Accuracy = 0.9950, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_138.txt: Accuracy = 0.9975, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_139.txt: Accuracy = 0.9975, Precision = 0.6667, Recall = 1.0000, Measure = 0.8000
confusion_matrix_iteracion_140.txt: Accuracy = 0.9975, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_141.txt: Accuracy = 0.9950, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_142.txt: Accuracy = 0.9950, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_143.txt: Accuracy = 0.9875, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_144.txt: Accuracy = 0.9925, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_145.txt: Accuracy = 0.9975, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_146.txt: Accuracy = 0.9950, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_147.txt: Accuracy = 0.9950, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_148.txt: Accuracy = 0.9875, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
confusion_matrix_iteracion_149.txt: Accuracy = 0.9925, Precision = 0.0000, Recall = 0.0000, Measure = 0.0000
